origin,dest,count
45,48,6
45,2821,7
45,2857,7
46,45,7
68,476,9
70,487,29
70,2177,7
77,490,17
441,638,12
444,448,6
444,642,6
446,640,21
446,2236,6
447,641,9
448,642,54
449,643,17
462,2236,6
462,2713,8
476,68,9
487,70,29
487,2177,7
490,77,17
517,667,17
564,791,12
564,3057,12
564,3392,12
575,625,15
575,3161,15
614,3137,23
625,575,15
625,3161,15
638,441,12
640,446,21
640,2236,6
641,447,9
642,448,54
643,449,17
645,2713,7
648,650,12
650,648,16
651,2236,6
667,517,17
689,2825,6
689,2861,6
689,3055,6
714,715,10
714,2905,12
714,2907,36
714,2908,10
714,3173,36
714,3174,10
715,714,9
715,1983,6
715,2235,7
715,2238,7
715,2286,7
715,2905,34
715,2907,9
715,2908,176
715,2910,12
715,3173,9
715,3174,176
715,3421,7
745,763,6
791,564,12
791,3057,12
791,3392,12
906,1132,7
908,1134,11
944,963,128
944,1051,128
944,1106,128
963,944,128
963,1051,128
963,1106,128
967,1110,15
983,2164,7
988,3380,6
994,1855,6
994,3349,6
1018,2179,6
1051,944,128
1051,963,128
1051,1106,128
1095,1843,12
1106,944,128
1106,963,128
1106,1051,128
1110,967,15
1132,906,7
1134,908,11
1355,1429,11
1356,1430,9
1374,1453,8
1374,2646,6
1429,1355,11
1430,1356,9
1453,1374,8
1453,2646,6
1472,1509,8
1509,1472,8
1560,3249,8
1574,2821,6
1574,2857,6
1575,1646,6
1575,1653,6
1580,2212,10
1621,2515,16
1625,2518,63
1625,2823,8
1625,2859,8
1631,1653,9
1631,2238,16
1631,2239,7
1631,2519,234
1631,2905,6
1634,1635,6
1634,1646,7
1634,1647,18
1635,1634,8
1635,1646,13
1635,1647,24
1635,1648,15
1635,1653,17
1646,1575,7
1646,1634,7
1646,1635,18
1646,1647,21
1646,1653,18
1647,1634,17
1647,1635,23
1647,1646,21
1647,1648,12
1647,1653,6
1647,2236,6
1648,1635,14
1648,1647,10
1648,1984,7
1648,2235,6
1648,2905,7
1651,2260,7
1653,1575,8
1653,1631,8
1653,1634,7
1653,1635,12
1653,1646,20
1653,1647,6
1653,1658,9
1653,2519,8
1653,2523,9
1653,2905,6
1658,1648,6
1658,2236,6
1658,2381,18
1658,2523,172
1658,2664,7
1659,2524,8
1692,1651,6
1703,2235,6
1712,1877,11
1727,1890,18
1755,2221,6
1813,3343,35
1843,1095,12
1855,994,6
1855,3349,6
1865,2235,6
1877,1712,11
1890,1727,18
1900,2395,6
1900,2823,8
1900,2859,8
1901,2391,7
1902,2315,6
1902,3447,6
1902,3835,6
1909,2221,6
1914,2388,7
1914,2787,6
1920,1928,7
1920,2179,16
1920,2187,11
1921,2196,6
1921,2235,6
1922,2905,6
1923,2242,6
1924,2235,10
1924,2236,6
1924,2905,7
1926,2235,6
1928,1920,6
1929,2193,6
1929,2233,6
1929,2236,8
1929,2238,11
1929,2272,8
1929,2905,9
1935,2010,6
1935,2729,6
1947,1979,8
1948,2184,6
1948,2187,6
1948,2188,6
1948,2236,6
1948,2905,8
1954,2260,7
1956,1960,6
1956,1965,6
1956,1980,6
1956,1983,7
1956,2010,13
1956,2158,6
1956,2188,8
1956,2190,8
1956,2235,12
1956,2236,6
1956,2729,13
1956,2821,6
1956,2857,6
1956,2905,7
1956,2910,8
1957,2377,6
1959,2011,6
1959,2158,8
1959,2235,9
1959,2238,10
1959,2730,6
1959,2910,8
1960,1963,7
1960,2235,9
1960,2338,6
1960,2905,7
1960,3194,34
1960,3241,34
1962,1966,8
1962,1977,13
1962,1984,8
1962,2010,8
1962,2729,8
1962,2905,7
1963,1960,9
1963,2187,6
1963,2236,6
1964,1966,8
1964,1977,6
1964,1980,6
1964,2236,6
1964,2905,7
1965,1966,12
1965,1977,7
1965,1983,7
1965,2010,14
1965,2175,7
1965,2187,6
1965,2192,7
1965,2235,7
1965,2729,14
1965,2905,15
1966,1965,15
1966,1967,21
1966,1977,27
1966,1983,8
1966,1984,8
1966,2010,11
1966,2158,10
1966,2184,7
1966,2185,10
1966,2187,10
1966,2188,16
1966,2191,8
1966,2192,13
1966,2193,13
1966,2212,7
1966,2233,6
1966,2235,11
1966,2236,21
1966,2237,9
1966,2238,11
1966,2239,7
1966,2242,7
1966,2288,7
1966,2338,6
1966,2729,11
1966,2905,11
1966,2910,12
1967,1964,6
1967,1966,17
1967,1968,6
1967,1972,6
1967,1977,11
1967,1983,14
1967,1984,9
1967,2010,15
1967,2175,7
1967,2184,6
1967,2185,6
1967,2188,9
1967,2192,6
1967,2235,13
1967,2236,7
1967,2238,6
1967,2239,6
1967,2288,9
1967,2729,15
1967,2821,8
1967,2827,8
1967,2857,8
1967,2905,15
1967,2910,8
1967,3437,8
1967,3650,8
1968,2238,6
1971,2185,6
1971,2188,7
1971,2192,9
1971,3249,15
1972,715,6
1972,1967,12
1972,1975,7
1972,1977,6
1972,1983,6
1972,2010,10
1972,2184,7
1972,2188,6
1972,2190,6
1972,2193,7
1972,2209,8
1972,2235,13
1972,2236,13
1972,2238,11
1972,2242,7
1972,2729,10
1972,2905,11
1972,2908,6
1972,3174,6
1973,2905,7
1974,1988,10
1974,2233,7
1974,2235,6
1974,2278,6
1974,2687,10
1974,2905,8
1975,1972,6
1975,1974,6
1975,1977,8
1975,2010,7
1975,2188,9
1975,2190,6
1975,2192,11
1975,2193,17
1975,2229,8
1975,2235,11
1975,2236,14
1975,2237,10
1975,2238,7
1975,2239,10
1975,2255,6
1975,2729,7
1975,2905,7
1975,2910,12
1976,1977,30
1976,2010,9
1976,2163,9
1976,2175,7
1976,2192,7
1976,2193,6
1976,2210,11
1976,2212,11
1976,2214,12
1976,2233,8
1976,2241,6
1976,2729,9
1977,1956,10
1977,1962,9
1977,1965,7
1977,1966,30
1977,1967,14
1977,1972,8
1977,1975,11
1977,1976,20
1977,1978,7
1977,1980,8
1977,1983,20
1977,1984,8
1977,2010,38
1977,2158,10
1977,2175,8
1977,2184,7
1977,2185,12
1977,2187,11
1977,2188,17
1977,2190,8
1977,2191,6
1977,2192,21
1977,2193,6
1977,2196,8
1977,2209,7
1977,2210,8
1977,2212,10
1977,2214,18
1977,2225,6
1977,2228,8
1977,2233,13
1977,2235,18
1977,2236,25
1977,2237,9
1977,2238,16
1977,2239,9
1977,2242,15
1977,2243,6
1977,2250,8
1977,2260,6
1977,2319,6
1977,2338,8
1977,2729,38
1977,2821,7
1977,2857,7
1977,2905,19
1977,2910,7
1978,1976,6
1978,1977,8
1978,1983,7
1978,2010,6
1978,2175,9
1978,2235,7
1978,2236,7
